source_slug,source_name,target_slug,target_name,severity,mechanism,source,confidence,needs_review,evidence
abatacepte-ctla4-ig,Abatacepte,adalimumabe-anti-tnf-subcutaneo,Adalimumabe,warning,Interação medicamentosa documentada no Bulário,interactions_text,high,false,"Anti-TNF, como adalimumabe, infliximabe, etanercepte, certolizumabe e golimumabe, não devem ser associados rotineiramente por aumento de infecções graves."
abatacepte-ctla4-ig,Abatacepte,etanercepte-anti-tnf-subcutaneo,Etanercepte,warning,Interação medicamentosa documentada no Bulário,interactions_text,high,false,"Anti-TNF, como adalimumabe, infliximabe, etanercepte, certolizumabe e golimumabe, não devem ser associados rotineiramente por aumento de infecções graves."
abatacepte-ctla4-ig,Abatacepte,infliximabe-anti-tnf-intravenoso,Infliximabe,warning,Interação medicamentosa documentada no Bulário,interactions_text,high,false,"Anti-TNF, como adalimumabe, infliximabe, etanercepte, certolizumabe e golimumabe, não devem ser associados rotineiramente por aumento de infecções graves."
abatacepte-ctla4-ig,Abatacepte,metotrexato,Metotrexato,warning,Interação medicamentosa documentada no Bulário,interactions_text,high,false,"Metotrexato, corticosteroides, AINEs e analgésicos podem ser usados conforme doença, mas aumentam necessidade de vigilância infecciosa quando há imunossupressão adicional."
abatacepte-ctla4-ig,Abatacepte,rituximabe,Rituximabe,warning,Aumento de risco de sangramento,interactions_text,high,false,"Anakinra e outros biológicos imunossupressores, como tocilizumabe, rituximabe, ustekinumabe, secukinumabe e inibidores de JAK, geralmente devem ser evitados em combinação."
abatacepte-ctla4-ig,Abatacepte,secukinumabe-anti-il17a,Secukinumabe,warning,Aumento de risco de sangramento,interactions_text,high,false,"Anakinra e outros biológicos imunossupressores, como tocilizumabe, rituximabe, ustekinumabe, secukinumabe e inibidores de JAK, geralmente devem ser evitados em combinação."
abatacepte-ctla4-ig,Abatacepte,tocilizumabe-anti-il6r,Tocilizumabe,warning,Aumento de risco de sangramento,interactions_text,high,false,"Anakinra e outros biológicos imunossupressores, como tocilizumabe, rituximabe, ustekinumabe, secukinumabe e inibidores de JAK, geralmente devem ser evitados em combinação."
abatacepte-ctla4-ig,Abatacepte,ustekinumabe-anti-il12-il23,Ustekinumabe,warning,Aumento de risco de sangramento,interactions_text,high,false,"Anakinra e outros biológicos imunossupressores, como tocilizumabe, rituximabe, ustekinumabe, secukinumabe e inibidores de JAK, geralmente devem ser evitados em combinação."
abiraterona-acetato-cancer-prostata,Abiraterona,acetato-de-prednisolona,Acetato de Prednisolona,warning,Interação medicamentosa documentada no Bulário,interactions_text,high,false,Prednisona ou prednisolona é usada em associação para reduzir efeitos mineralocorticoides.
abiraterona-acetato-cancer-prostata,Abiraterona,carbamazepina,Carbamazepina,warning,Interação medicamentosa documentada no Bulário,interactions_text,high,false,"Indutores fortes de CYP3A4, como rifampicina, carbamazepina, fenitoína, fenobarbital e Hypericum perforatum, podem reduzir exposição e eficácia."
abiraterona-acetato-cancer-prostata,Abiraterona,carvedilol,Carvedilol,warning,Interferência em CYP2D6 e resposta analgésica,interactions_text,high,false,"Abiraterona inibe CYP2D6 e CYP2C8, podendo aumentar níveis de metoprolol, propranolol, carvedilol, antidepressivos tricíclicos, antipsicóticos, flecainida, propafenona, codeína, tramadol, pioglitazona e repaglinida."
